,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,IDK,id
3242,0.01918031834065914,0.019351713359355927,0.020451745018363,0.015254558064043522,0.018871435895562172,0.020060330629348755,0.01525810081511736,0.02004540152847767,0.014758695848286152,0.028651438653469086,0.020128456875681877,0.012794706039130688,0.0,ROI_8625/20190819T105029_20190819T105032_T31TDN
3243,0.021752052009105682,0.025953754782676697,0.02167942002415657,0.014560909010469913,0.01675441674888134,0.021002372726798058,0.01782061532139778,0.019863301888108253,0.01469334401190281,0.028203491121530533,0.015461936593055725,0.012137009762227535,0.0,ROI_8625/20190903T105031_20190903T105715_T31TDN
3244,0.025119610130786896,0.0261436365544796,0.022752253338694572,0.013273966498672962,0.01766415312886238,0.024742795154452324,0.021150220185518265,0.026237091049551964,0.023699114099144936,0.036547135561704636,0.012965590693056583,0.01179427932947874,0.0,ROI_8625/20200629T105031_20200629T105217_T31TDN
3245,0.019762488082051277,0.013627668842673302,0.013558859005570412,0.013762171380221844,0.015265691094100475,0.017840569838881493,0.019142910838127136,0.02711016684770584,0.01890474185347557,0.02807486616075039,0.016052745282649994,0.020220888778567314,0.0,ROI_8652/20180426T105029_20180426T105202_T31UDP
3246,0.104253850877285,0.05404732748866081,0.02219133824110031,0.03275177255272865,0.004840679466724396,0.007259033620357513,0.005185343325138092,0.0057075172662734985,0.010814085602760315,0.0820528119802475,0.012915708124637604,0.010032206773757935,0.0,ROI_8652/20190121T105349_20190121T105535_T31UDP
3247,0.025592654943466187,0.017005551606416702,0.014115731231868267,0.012443994171917439,0.010273692198097706,0.013361743651330471,0.01477854885160923,0.019322460517287254,0.015166783705353737,0.033327486366033554,0.014077750034630299,0.01083267293870449,0.0,ROI_8652/20190307T105021_20190307T105430_T31UDP
3248,0.02104136161506176,0.013646542094647884,0.01420372910797596,0.012082919478416443,0.013436056673526764,0.022561440244317055,0.025925051420927048,0.03511190414428711,0.026823073625564575,0.031156469136476517,0.01774817518889904,0.015754541382193565,0.0,ROI_8652/20191018T105039_20191018T105338_T31UDP
3249,0.016879038885235786,0.016422796994447708,0.018596716225147247,0.015852127224206924,0.019881485030055046,0.020563825964927673,0.022423984482884407,0.02938239835202694,0.023238178342580795,0.028685636818408966,0.01523505337536335,0.016087356954813004,0.0,ROI_8652/20200530T105031_20200530T105134_T31UDP
3250,0.03320097178220749,0.027203602716326714,0.02840648777782917,0.017766108736395836,0.023943733423948288,0.03172815591096878,0.027668485417962074,0.0316002294421196,0.02592618390917778,0.03298713266849518,0.01983305811882019,0.01477210782468319,0.0,ROI_8653/20180526T105029_20180526T105635_T31UCQ
3251,0.01996191218495369,0.018423624336719513,0.026006173342466354,0.013513535261154175,0.02278406172990799,0.029717255383729935,0.018009522929787636,0.024709708988666534,0.026686055585741997,0.029895076528191566,0.02492932789027691,0.014364129863679409,0.0,ROI_8653/20180715T105029_20180715T105300_T31UCQ
